archetype,descriptor,impact,base_mass
BAG,movement,0.033949196338653564,0.0367586612701416
BAG,journey,0.014712810516357422,0.0367586612701416
BAG,transport,0.014712810516357422,0.0367586612701416
CLOUDS,vision,0.024315357208251953,0.03764981031417847
CLOUDS,portal,0.02013307809829712,0.03764981031417847
CLOUDS,vastness,0.007871389389038086,0.03764981031417847
DRAGONFLY,astral travel,0.03837120532989502,0.09002310037612915
DRAGONFLY,confirmation,0.029668450355529785,0.09002310037612915
DRAGONFLY,flight,0.029497087001800537,0.09002310037612915
EARTH,grounding,0.03867948055267334,0.06557786464691162
EARTH,people,0.026751279830932617,0.06557786464691162
EARTH,earthly,0.013478696346282959,0.06557786464691162
FEATHER,strength,0.01351398229598999,0.01658785343170166
FEATHER,achievement,0.01351398229598999,0.01658785343170166
FEATHER,merit,0.011325657367706299,0.01658785343170166
HORSE TRACK,mobility,0.007124602794647217,0.007124602794647217
HORSE TRACK,west,0.004456996917724609,0.007124602794647217
HORSE TRACK,hunting,0.0026676058769226074,0.007124602794647217
HOUSE,safety,0.0,0.0
HOUSE,grandmother,0.0,0.0
HOUSE,council,0.0,0.0
LIGHTNING,sacred clown,0.03314417600631714,0.05856192111968994
LIGHTNING,goes out of the eyes of the thunderbird,0.031131505966186523,0.05856192111968994
LIGHTNING,lightning,0.02800607681274414,0.05856192111968994
STAR,soul,0.025634765625,0.05180644989013672
STAR,light,0.025600731372833252,0.05180644989013672
STAR,ancestral connection,0.015440285205841064,0.05180644989013672
THUNDER,reminder of humanness,0.05294919013977051,0.05294919013977051
THUNDER,humility,0.05294919013977051,0.05294919013977051
THUNDER,fragility,0.0424647331237793,0.05294919013977051
